date,team_a,team_b,home_goals,away_goals,half_home_goals,half_away_goals
2026-07-11,光州FC,浦项制铁,0,3,,
2026-07-11,厄格里特,赫根,4,3,,
2026-07-11,图尔库,奥卢,3,0,,
2026-07-11,奥勒松,莫尔德,2,2,,
2026-07-11,奥尔格里,赫根,4,3,,
2026-07-11,拉赫蒂,赫尔辛基,2,0,,
2026-07-11,挪威,英格兰,1,1,,
2026-07-11,特罗姆瑟,瓦勒伦加,4,0,,
2026-07-11,米亚尔比,索尔纳,1,2,,
2026-07-11,蔚山现代,全北现代,1,3,,
2026-07-11,费特斯塔,利勒斯特,0,2,,
2026-07-11,赫尔火花,玛丽港,4,2,,
2026-07-11,金泉尚武,富川FC,1,1,,
2026-07-11,阿根廷,瑞士,1,1,1,0
2026-07-14,吉奧利,维京古尔,2,2,,
2026-07-14,新圣徒,沙巴巴库,1,2,,
2026-07-14,法国,西班牙,0,2,,
2026-07-15,尼卡斯克,图凯拉特,0,2,,
2026-07-15,英格兰,阿根廷,1,2,,
2026-07-15,阿特比森,克拉克斯,1,2,,
2026-07-16,博塔弗戈,桑托斯,2,1,,
2026-07-16,圣路易斯,堪萨斯城,3,2,,
2026-07-16,德里城,索非陆军,1,2,,
2026-07-16,日利纳,斯海杜克,2,1,,
2026-07-16,瓦勒伦加,奥勒松,6,1,,
2026-07-16,维多利亚,达伽马,1,0,,
2026-07-16,蒙特利尔,多伦多,0,0,,
2026-07-16,西雅图,波特兰,1,5,,
2026-07-16,费伦茨瓦,伏伊伏丁,3,0,,
